sentence,sentiment
"I wasn't sure how they could fit together for a new object, but after some brainstorming I though about how a Fitbit counts steps and shoes are for stepping! ","{'label': 'neutral', 'score': 0.6328738927841187}"
I also took the computer chip from the broken cell phone as a way to collect data from the the phone. ,"{'label': 'neutral', 'score': 0.759463906288147}"
"It should be noted, as the video indicates, that this is a prototype for an idea. ","{'label': 'neutral', 'score': 0.5874321460723877}"
However this prototype is meant to be conceptual. ,"{'label': 'neutral', 'score': 0.7763010263442993}"
"I have always done a very good job at recycling things I don't need for the most part, often using old clothes as rags, or dropping them in recycling containers in the city. ","{'label': 'positive', 'score': 0.6780033111572266}"
Similarly I have disposed of electronics in the same way. ,"{'label': 'neutral', 'score': 0.6291828751564026}"
"However, I did manage to find a few things I haven't gotten a chance to recycle properly because of COVID. ","{'label': 'negative', 'score': 0.532849907875061}"
Where I struggled was with coming up with the idea for a repurpose. ,"{'label': 'negative', 'score': 0.5978989005088806}"
I am a bit of a futurist and I realized I could do something fun with the shoe and attach electronics to it. ,"{'label': 'positive', 'score': 0.517180860042572}"
"I had the batteries to power it, wires from the light bulb base, and the Fitbit and phone processing chip. ","{'label': 'neutral', 'score': 0.7117490768432617}"
This project has pushed me to think about what happens when I send things I no longer need to recycling. ,"{'label': 'positive', 'score': 0.6386809349060059}"
"It is well known that many items that are left to be recycled, are not actually recycled and much of the material is wasted. ","{'label': 'negative', 'score': 0.7322855591773987}"
"Repair and repurposing allows us rethink how we recycle and to not just get rid of objects, but to constantly recreate with what we have. ","{'label': 'positive', 'score': 0.4924958646297455}"
